x_site,y_site,n,slope,intercept,r2
24.1_1.2,5.1_19.3_24.2,100,0.9981481485064486,1.0104784122233166,0.9551682546539536
25.1,5.1_19.3_24.2,24,1.0931243435422981,0.18921521571534813,0.9818357340679279
27.1,5.1_19.3_24.2,17,0.9849876681574307,0.08419404977965274,0.9858500768263696
28.1,5.1_19.3_24.2,47,5.6562098290347,-6.300880173783215,0.9090574259901724
29.1,5.1_19.3_24.2,138,0.8854269994974437,0.2604710721109247,0.9339147244251327
31.2,5.1_19.3_24.2,23,0.894273043712295,-0.32349330201401993,0.9706493242085501
32.2,5.1_19.3_24.2,23,0.8166827110212933,0.06783931120539541,0.9720164679902282
34.1_16.1,5.1_19.3_24.2,67,0.6767222941699871,2.9586338576540863,0.8699785267127357
35.2,5.1_19.3_24.2,23,0.9908799277345656,0.6555222167017007,0.9562813299043335
2.1,7.1_4.1,14,0.7429249618899411,1.732316540208628,0.7061358242608821
3.1,7.1_4.1,45,1.3464691837980984,-0.17066287736939906,0.6364447550657464
7.1_4.1,7.1_4.1,47,1,-0,1
9.1_17.2,7.1_4.1,13,0.7043185189489309,2.874721531868496,0.9374961193423295
12.1_5.2,7.1_4.1,36,0.7020523997388072,1.897913992091258,0.8962278165007741
13.1_33.2,7.1_4.1,34,0.5398906308101719,2.5896929908147444,0.5469949328535427
18.1_26.1,7.1_4.1,32,1.473959346456162,-3.1623638147432733,0.9079751196482315
20.1,7.1_4.1,12,1.0842043225221252,0.05263474476775072,0.7221424342127868
21.1,7.1_4.1,38,0.8959703259527464,0.7402263334019424,0.9317287114978671
23.1,7.1_4.1,42,1.066495927067192,-1.0866878236606308,0.7624943338377744
24.1_1.2,7.1_4.1,43,0.8844612421278956,1.4456486001742133,0.8839488355648685
28.1,7.1_4.1,37,0.8557060896555335,0.5635513977996532,0.8850755023011401
2.1,7.2,27,1.1154498121990521,0.9657316930610542,0.8312635980030041
3.1,7.2,71,1.0842321809131406,1.1815822729233045,0.7734377097183529
5.1_19.3_24.2,7.2,23,1.070240569078897,1.0817256228573333,0.7520421445175186
7.2,7.2,72,1,-0,1
8.1_34.2,7.2,19,1.1451713035012983,-0.7867402392497646,0.9616934072121457
9.1_17.2,7.2,65,0.8799041491564673,0.4722731462205385,0.7945586511240634
9.2,7.2,43,1.4044575029976907,0.4424686566234599,0.865734072373302
12.1_5.2,7.2,20,1.0669691189582822,0.6693231528398612,0.845376848029576
13.1_33.2,7.2,32,0.2816217863114483,4.925131182163991,0.2936343673991662
14.1,7.2,72,0.9065591761438551,0.6813834952225938,0.79046470282408
15.1,7.2,69,2.916411106912776,-2.0194571774202044,0.8053462872733623
18.1_26.1,7.2,72,0.876078172735942,0.8075961330495111,0.8409724262419499
20.2,7.2,40,1.2295292989054991,0.5397944876542947,0.8238803847440943
21.1,7.2,61,0.9731685239505159,0.6714373369570468,0.8243312914702312
22.1,7.2,62,0.9179491165533173,0.6475951993222203,0.89881951821864
23.1,7.2,24,0.9584232789892276,0.4064913671842185,0.8954640088024362
28.1,7.2,70,5.787991681326899,-5.889266151554333,0.8292166461058151
29.1,7.2,70,0.9148109291008066,0.6224612141635847,0.8617927515616904
31.2,7.2,66,0.9172709752715951,0.36317620339843776,0.8667408819558635
32.2,7.2,51,0.9391451892133896,0.30533364038904975,0.8428446572425812
34.1_16.1,7.2,42,0.9637698490345938,0.4313651182828743,0.7715722191943766
35.2,7.2,54,1.1698051837679753,0.6997976124133667,0.8364202128741864
2.1,8.1_34.2,24,0.8546264768931774,1.1535111388021202,0.9478241251276384
3.1,8.1_34.2,69,1.0802072894222918,0.7209486373245954,0.8458222334514491
5.1_19.3_24.2,8.1_34.2,16,0.9525623479758857,0.24859041689801742,0.9243589993495844
7.2,8.1_34.2,19,0.8397812661492835,0.8963641534764792,0.9616934072121458
8.1_34.2,8.1_34.2,69,1.0000000000000002,-1.672291578553913e-15,1
9.1_17.2,8.1_34.2,53,0.8303527528624327,1.5183493009859148,0.7229244236405549
12.1_5.2,8.1_34.2,11,0.935733220158904,0.16254049236530518,0.942963995694563
13.1_33.2,8.1_34.2,15,0.501452270861155,2.012873395197676,0.5416591997768602
14.1,8.1_34.2,37,0.7148974442724381,1.8019431658150913,0.8638409916548777
15.1,8.1_34.2,33,2.0099540932856215,0.2399533354181689,0.7565123335351991
18.1_26.1,8.1_34.2,65,0.6381157138509689,1.743624111396104,0.8338983187334629
20.1,8.1_34.2,29,1.0251744250556156,-0.29525234256141597,0.8466872260004322
20.2,8.1_34.2,24,1.1040071511845326,0.5892885744553009,0.926629700238629
