x_site,y_site,n,slope,intercept,r2,site1,site2,distance_km
28.1,12.1_5.2,143,0.6978826938228783,4.045795762104076,0.6386435364873666,12.1_5.2,28.1,3.5834513001303083
29.1,12.1_5.2,78,1.0665450510767267,-1.157294505931336,0.9241909045918265,12.1_5.2,29.1,10.87937302213536
30.1_17.1,12.1_5.2,29,0.7282334805463527,3.8364809087557505,0.82030135638457,12.1_5.2,30.1_17.1,2.6601801322270786
31.2,12.1_5.2,21,0.8019874205270517,0.7035815975838969,0.9118487452623878,12.1_5.2,31.2,2.6096554300223973
32.2,12.1_5.2,20,0.8802765673844477,-0.13232321171205877,0.9368286322458572,12.1_5.2,32.2,7.594951163021605
34.1_16.1,12.1_5.2,53,0.8000371251705105,1.7613259890381514,0.937682341194763,12.1_5.2,34.1_16.1,2.989452367965362
35.2,12.1_5.2,21,1.1380372305794815,0.13304066570352055,0.9306967817023492,12.1_5.2,35.2,9.992465651380925
14.1,13.1_33.2,51,0.911862913155764,3.628334504616928,0.1586095490374677,13.1_33.2,14.1,6.819670512503157
15.1,13.1_33.2,36,4.287766512300215,0.640775457248609,0.3078559614429045,13.1_33.2,15.1,12.197071851311609
18.1_26.1,13.1_33.2,121,0.574163454961889,4.891576654420716,0.2054084374424561,13.1_33.2,18.1_26.1,3.5952814518739236
20.1,13.1_33.2,50,0.9165469199711306,1.6287386660839747,0.8930565888823487,13.1_33.2,20.1,16.79564321279713
20.2,13.1_33.2,12,1.0386464504118702,14.184596303637472,0.1546216112949653,13.1_33.2,20.2,5.899023988742186
21.1,13.1_33.2,116,0.9903731245667496,1.576239459697254,0.2972913159031586,13.1_33.2,21.1,7.277828904833238
22.1,13.1_33.2,38,0.8787246942187966,3.794822042980691,0.1566582187727989,13.1_33.2,22.1,5.150281855054851
23.1,13.1_33.2,107,0.9445645612132851,-0.06645089851115289,0.35173916660328136,13.1_33.2,23.1,13.100110543207547
24.1_1.2,13.1_33.2,96,0.6012585800762883,3.388772769268775,0.4051931318082498,13.1_33.2,24.1_1.2,13.842841874567167
27.1,13.1_33.2,22,0.877005263804819,2.0110774036442596,0.8510467546662298,13.1_33.2,27.1,4.058268569562017
28.1,13.1_33.2,125,0.4825869353554185,7.371775007704151,0.10822313512430444,13.1_33.2,28.1,3.1572011367036863
29.1,13.1_33.2,50,0.2340880303765662,10.945219212419893,0.022355581457410033,13.1_33.2,29.1,10.447471617878183
30.1_17.1,13.1_33.2,22,0.8734384424841213,2.2015045953195647,0.8665854917783634,13.1_33.2,30.1_17.1,2.161342069498332
31.2,13.1_33.2,36,1.6556627555197625,0.960886079869595,0.4556176523072645,13.1_33.2,31.2,2.223772427495513
32.2,13.1_33.2,35,1.642944319365606,1.564831411250467,0.43683729009983846,13.1_33.2,32.2,7.6089497400328625
34.1_16.1,13.1_33.2,25,1.2762150854346022,-0.030075377366429724,0.24468280903844397,13.1_33.2,34.1_16.1,2.465735747496328
35.2,13.1_33.2,33,1.846068026981201,3.193280961270662,0.39816417403876286,13.1_33.2,35.2,10.39968909530503
15.1,14.1,128,3.0312909958995204,-2.503385714619199,0.879463322456479,14.1,15.1,7.118218259942945
18.1_26.1,14.1,194,0.8488644810196686,0.5298419692773202,0.8577456818681242,14.1,18.1_26.1,10.351659628528353
20.2,14.1,62,1.2045121040060387,-0.22789609275319764,0.9442512278031839,14.1,20.2,1.5275602783134372
21.1,14.1,198,1.078911739885966,-0.3991862165443415,0.9319717856895187,14.1,21.1,1.1153438107789324
22.1,14.1,220,0.9030067189401801,0.4654712278698298,0.9299975830267115,14.1,22.1,9.593065499169825
23.1,14.1,173,1.0262724930270997,-0.37701663497028876,0.8285972824753183,14.1,23.1,7.5157786817027015
24.1_1.2,14.1,123,1.1312118010572416,0.3397895947680276,0.9270812086461806,14.1,24.1_1.2,8.820034675266164
25.1,14.1,32,1.0825889483852569,1.5417849396798997,0.9441764672102949,14.1,25.1,3.1393093394393548
27.1,14.1,22,1.2326222054090747,-1.1711964360046994,0.9389444015301456,14.1,27.1,3.3265266872625396
28.1,14.1,115,5.939206380730171,-6.081294799439096,0.8810573789260943,14.1,28.1,6.707349641145953
29.1,14.1,228,1.0076530075705525,-0.36457041807845403,0.9169864166502955,14.1,29.1,16.702350220195953
31.2,14.1,83,0.9221208323408089,0.4522985039204487,0.9295897371896998,14.1,31.2,6.2535258428027065
32.2,14.1,61,0.9359615022226629,0.5487643576063845,0.952464603894116,14.1,32.2,2.6474001445776727
34.1_16.1,14.1,118,0.9008531575067465,0.6351930327168809,0.9395252650241929,14.1,34.1_16.1,8.426955129231285
35.2,14.1,71,1.1510817058402245,0.7545106816251994,0.9594791955652009,14.1,35.2,5.367640104618457
18.1_26.1,15.1,126,0.22212959812514063,1.451819308710939,0.7627849431247331,15.1,18.1_26.1,15.679884444976222
20.2,15.1,61,0.3867737671998657,1.0061337853882226,0.8583608428487295,15.1,20.2,6.868934093772134
21.1,15.1,115,0.3157572054787311,1.055153059255468,0.874066277234162,15.1,21.1,7.852173954948462
22.1,15.1,119,0.2497425725991542,1.345375535034326,0.7804392695574895,15.1,22.1,16.267194307800494
23.1,15.1,75,0.28998860506204327,1.2568286793639893,0.7954096675682567,15.1,23.1,11.680567406165952
24.1_1.2,15.1,27,0.39475331536197933,1.220426776529099,0.788365871342314,15.1,24.1_1.2,1.7226343418020362
28.1,15.1,82,1.91467545744783,-1.1838900129601704,0.8819916231254813,15.1,28.1,13.325689516732407
29.1,15.1,124,0.28586407795758834,1.1343490902703663,0.8107471668524355,15.1,29.1,22.644372215769238
31.2,15.1,80,0.28317062107807067,1.129878073994742,0.8721162325996542,15.1,31.2,12.61013731883284
32.2,15.1,58,0.2953992773085131,1.057682706621669,0.9148180771401146,15.1,32.2,9.324202848062882
34.1_16.1,15.1,53,0.2805808018796719,1.0574507350952647,0.8754057856848612,15.1,34.1_16.1,14.435054199086222
35.2,15.1,69,0.3675634602518273,1.0968833819262676,0.9500817395889756,15.1,35.2,1.8467118865480978
20.1,18.1_26.1,99,1.310557758245379,-0.9974993271728142,0.8122745217979536,18.1_26.1,20.1,20.308981331177275
20.2,18.1_26.1,62,1.2929140912167814,0.33564931792116826,0.9098072155247783,18.1_26.1,20.2,9.492556529067455
21.1,18.1_26.1,290,1.1295037994304309,0.03997497664921603,0.873818507053281,18.1_26.1,21.1,10.703208808681264
22.1,18.1_26.1,186,1.0003356973565987,0.6925888260200332,0.9182748159115129,18.1_26.1,22.1,4.637566247879967
23.1,18.1_26.1,278,0.9608394326893697,1.1552396808874887,0.8039425313969824,18.1_26.1,23.1,16.069654259626883
24.1_1.2,18.1_26.1,224,1.1588580876391612,0.8806740769686098,0.8648238974021317,18.1_26.1,24.1_1.2,17.28877327061585
25.1,18.1_26.1,23,1.3094747407408875,0.13815469846480127,0.9282196996027517,18.1_26.1,25.1,10.307872307119428
27.1,18.1_26.1,48,1.2550187202049456,-1.0093959448339727,0.9725714997629002,18.1_26.1,27.1,7.639279118065501
