site_x,site_y,n_overlap,slope,intercept,r2
20.1,9.1_17.2,104,0.8838963170214688,0.35626186961350836,0.6575077385969067
35.1,1.1,47,0.18901096866338116,0.34475096369831976,0.6575457423587094
27.1,19.1,140,0.8501150515171959,2.4383953291144698,0.6587003360535583
27.1,20.1,127,0.6013082801224096,3.4864073854848163,0.6594222244361256
19.2,12.1_5.2,41,0.6194913913641289,5.198378215871755,0.6600693708464194
31.2,20.2,68,0.6132463915869125,0.830351664914947,0.6620277928004561
30.1_17.1,3.1,135,0.5228600314772947,2.8321897841709447,0.6635763636292987
33.1,12.1_5.2,67,0.8679699159950988,3.994030876877975,0.6653728885548256
28.1,20.2,73,3.7370680576433526,-3.243063383452796,0.6666407722785562
30.1_17.1,24.1_1.2,134,0.6280622941894158,2.23351449593636,0.6666937926944303
19.1,9.1_17.2,93,0.6714504387053775,0.8965712693798219,0.6675636429725694
25.1,19.2,58,1.6560200416635071,-2.2634072582874474,0.6678048567903182
19.2,5.1_19.3_24.2,57,0.5081761342550724,4.303182501182493,0.6687169501273743
28.1,19.1,121,0.6961520318433967,1.7649554054192407,0.6708556140841266
35.1,11.1_32.1_18.2,36,0.8875943284108037,-0.13657137515171477,0.6712509390893198
25.1,2.1,354,0.9452971956335563,0.7769617048540557,0.6717211743367225
33.1,5.1_19.3_24.2,83,0.6849488567571608,3.829899965471959,0.6731390142764057
15.1,5.1_19.3_24.2,170,0.9010089832777356,4.932017533086466,0.6740693765707173
25.1,12.1_5.2,286,1.0085509283177385,0.896720786137604,0.675469719980649
19.2,14.1,58,0.6388852417940927,3.6300187580164756,0.6759643592543678
29.1,7.2,84,0.9609603995304205,0.8217410771672556,0.6766544567730334
20.2,9.1_17.2,85,1.2763063987975092,1.5623570981855712,0.677232509052235
32.2,20.2,48,0.5901788539967676,1.1400938026576144,0.6785099538216257
19.2,11.1_32.1_18.2,48,0.4999325922308602,3.432541261163617,0.6803026258729743
28.1,7.2,84,6.220887162964828,-6.364563339257945,0.6803929312388418
20.1,11.1_32.1_18.2,82,0.6704448259252511,2.081379263594837,0.6826227065750576
18.1_26.1,7.2,84,0.9338844827722599,0.9363035371848674,0.6826772101875503
20.2,3.1,89,0.9703691823017202,0.5403132074374326,0.682825356764759
21.1,19.2,58,1.310879578615017,-0.2926512675711776,0.6833485094421147
9.2,7.2,65,1.3986224380155456,0.8118754208669081,0.6839944288235301
15.1,8.1_34.2,381,0.948518248722869,2.8109200620658563,0.6840474983995497
35.1,2.1,71,0.9520085823980765,0.4361541033691049,0.6840594759542244
15.1,7.2,84,3.1463969883057015,-2.29131826150525,0.6863600988803752
34.1_16.1,33.1,93,0.6872513920802797,1.4279439076168028,0.6870805013402972
23.1,20.2,86,0.6000717928477022,1.1052880090416797,0.6880376394118681
30.1_17.1,20.1,118,0.5965864494389893,3.1777868392479536,0.6881479189880375
33.1,13.1_33.2,27,0.1540098277073045,2.14888361304191,0.6886675204324966
31.2,7.1_4.1,85,1.2842824800926562,-1.3095322499090558,0.6892360770609262
34.1_16.1,7.2,84,1.0089005597565164,0.4404412870392285,0.6908121032043425
33.1,3.1,93,0.7567203908933744,1.6524776635042298,0.690831837038554
19.1,2.1,148,0.759269702053886,1.5486180764805142,0.6912239490200272
28.1,15.1,267,0.5874141756152703,2.428758401434724,0.6915224283989353
35.1,7.1_4.1,77,0.7322682308839878,2.62709278715054,0.6926124692258145
15.1,12.1_5.2,313,1.09950508618026,2.163707557003004,0.6937574270095362
22.1,15.1,236,0.566739304101092,-0.24408283278628706,0.6970287110594178
15.1,3.1,416,0.8602608519279985,2.2493595737800796,0.6982174145212289
19.1,7.1_4.1,162,0.7979283645954444,1.8048066498375057,0.6987377696809884
30.1_17.1,11.1_32.1_18.2,67,0.587813262766976,2.466989935350358,0.699571050698538
8.1_34.2,7.1_4.1,377,0.8949790386569504,1.4919487150914006,0.6998553714264892
27.1,3.1,194,0.6484405878977884,2.332217020973054,0.6999332173596402
15.1,2.1,381,1.0017486167717011,2.3147725780749573,0.7003682523585517
21.1,15.1,409,0.7381205946588857,-0.010687256421972454,0.700831262308522
30.1_17.1,12.1_5.2,127,0.7237060823977374,2.397086702116643,0.7047637413500314
30.1_17.1,27.1,107,0.8285539233860773,0.9837163302609171,0.7053217664925902
30.1_17.1,25.1,106,0.9005660220000307,0.9900200413020732,0.7057815738704355
21.1,7.2,84,1.05731436222355,0.4006767178287398,0.7060114815655989
35.2,20.2,59,0.73908931926921,1.2830254691778264,0.7064015184295303
27.1,24.1_1.2,193,0.7034195468110884,2.3288569519881244,0.7066850962585085
30.1_17.1,1.1,102,0.9292298345717722,1.2427049349047876,0.7089877524163848
9.1_17.2,7.1_4.1,313,0.8894822216697441,1.4599832904179446,0.7096623753117282
24.1_1.2,7.1_4.1,314,1.0060871410182224,1.4647341820189135,0.713327652332566
23.1,3.1,412,0.6452902891442617,1.4072293766899775,0.7141358654786578
25.1,9.1_17.2,323,0.9640934637111183,1.362442910857268,0.7159905601643524
23.1,12.1_5.2,316,0.8848968336035922,0.8768045354284859,0.7162979702971095
14.1,7.2,84,1.010399936144253,0.4221785170988342,0.7169125254499128
35.1,19.2,30,1.3470397447658293,0.20536719139549428,0.7209720731973633
15.1,14.1,234,1.1715625612712521,3.7772823835613356,0.7222873389516696
23.1,22.1,230,1.0242076037774432,0.3000674707989483,0.7251422346295133
27.1,21.1,193,0.7363316134829196,2.6030805534684256,0.726350806953395
33.1,23.1,88,0.8628631009556216,2.6143869151415298,0.7279959029414836
