Sensor ID,Site ID,Lat,Long,Date,Time,PM2.5,removal_reason
27.1,27.1,41.50541,-81.66791,2025-08-26,21:30:00,4.089,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,22:00:00,0.73,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,22:30:00,2.329,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,23:00:00,3.469,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-26,23:30:00,2.063,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,00:00:00,3.784,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,00:30:00,1.155,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,01:00:00,6.757,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,01:30:00,2.16,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,02:00:00,3.557,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,02:30:00,1.24,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,03:00:00,1.609,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,03:30:00,4.152,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,04:00:00,2.197,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,04:30:00,2.479,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,05:00:00,0.781,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,05:30:00,20.746,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,06:00:00,1.613,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,07:30:00,1.855,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,08:00:00,3.471,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,08:30:00,4.294,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,09:00:00,1.938,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,09:30:00,5.472,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,10:00:00,2.523,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,10:30:00,29.117,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,11:00:00,9.09,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,11:30:00,122.941,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,12:00:00,122.941,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,13:00:00,2.872,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,13:30:00,3.982,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,14:00:00,3.588,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,14:30:00,1.731,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,15:00:00,1.67,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,15:30:00,2.077,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,16:00:00,1.306,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,16:30:00,1.51,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,17:00:00,3.965,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,17:30:00,0.583,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,18:00:00,1.982,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,18:30:00,5.177,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,19:00:00,2.449,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,19:30:00,6.187,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,20:00:00,0.525,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,20:30:00,4.768,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,21:00:00,0.616,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,21:30:00,3.577,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,22:00:00,0.95,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,22:30:00,1.661,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,23:00:00,0.837,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-27,23:30:00,2.281,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,00:00:00,2.93,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,00:30:00,3.736,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,01:00:00,2.901,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,01:30:00,8.386,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,02:00:00,3.551,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,02:30:00,0.675,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,03:00:00,3.13,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,03:30:00,4.194,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,04:00:00,1.467,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,04:30:00,2.694,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,05:00:00,6.316,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,05:30:00,1.152,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,06:00:00,4.481,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,06:30:00,2.196,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,07:00:00,0.917,Trim 27.1 from 2025-07-01 onward
27.1,27.1,41.50541,-81.66791,2025-08-28,07:30:00,1.56,Trim 27.1 from 2025-07-01 onward
