sensor_id,site_id,latitude,longitude,datetime_utc,pm25,removal_reason
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T21:30:00Z,820.563,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T22:00:00Z,785.32,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T22:30:00Z,687.258,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T23:00:00Z,592.951,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26T23:30:00Z,435.307,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T00:00:00Z,265.061,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T03:30:00Z,253.482,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T11:30:00Z,1425.288,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T12:00:00Z,1996.534,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T12:30:00Z,506.496,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T13:00:00Z,494.449,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T13:30:00Z,695.325,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T14:00:00Z,1160.734,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T14:30:00Z,1318.397,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T15:00:00Z,268.289,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T15:30:00Z,609.611,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T16:00:00Z,1345.203,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T16:30:00Z,288.081,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T17:00:00Z,741.756,PM2.5 > 250
